OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
109,Mahakulung Gaunpalika,Solukhumbu,Mahakulung,Gaunpalika,1,1,524111,103,NP0111,10302,524 1 11 4 002,NP0111402
110,Nechasalyan Gaunpalika,Solukhumbu,Nechasalyan,Gaunpalika,1,1,524111,103,NP0111,10306,524 1 11 4 005,NP0111405
111,Solududhakunda Nagarpalika,Solukhumbu,Solududhakunda,Nagarpalika,1,1,524111,103,NP0111,10307,524 1 11 3 001,NP0111301
112,Sotang Gaunpalika,Solukhumbu,Sotang,Gaunpalika,1,1,524111,103,NP0111,10303,524 1 11 4 007,NP0111407
113,Champadevi Gaunpalika,Okhaldhunga,Champadevi,Gaunpalika,1,1,524113,104,NP0113,10406,524 1 13 4 004,NP0113404
114,Chisankhugadhi Gaunpalika,Okhaldhunga,Chisankhugadhi,Gaunpalika,1,1,524113,104,NP0113,10401,524 1 13 4 006,NP0113406
115,Khijidemba Gaunpalika,Okhaldhunga,Khijidemba,Gaunpalika,1,1,524113,104,NP0113,10404,524 1 13 4 001,NP0113401
116,Likhu Gaunpalika,Okhaldhunga,Likhu,Gaunpalika,1,1,524113,104,NP0113,10405,524 1 13 4 002,NP0113402
117,Manebhanjyang Gaunpalika,Okhaldhunga,Manebhanjyang,Gaunpalika,1,1,524113,104,NP0113,10408,524 1 13 4 007,NP0113407
118,Molung Gaunpalika,Okhaldhunga,Molung,Gaunpalika,1,1,524113,104,NP0113,10403,524 1 13 4 003,NP0113403
119,Siddhicharan Nagarpalika,Okhaldhunga,Siddhicharan,Nagarpalika,1,1,524113,104,NP0113,10402,524 1 13 3 001,NP0113301
120,Sunkoshi Gaunpalika,Okhaldhunga,Sunkoshi,Gaunpalika,1,1,524113,104,NP0113,10407,524 1 13 4 005,NP0113405
121,Ainselukhark Gaunpalika,Khotang,Ainselukhark,Gaunpalika,1,1,524112,105,NP0112,10502,524 1 12 4 001,NP0112401
122,Barahapokhari Gaunpalika,Khotang,Barahapokhari,Gaunpalika,1,1,524112,105,NP0112,10510,524 1 12 4 007,NP0112407
123,Diprung Gaunpalika,Khotang,Diprung,Gaunpalika,1,1,524112,105,NP0112,10507,524 1 12 4 004,NP0112404
124,Halesi Tuwachung Nagarpalika,Khotang,Halesi Tuwachung,Nagarpalika,1,1,524112,105,NP0112,10504,524 1 12 3 001,NP0112301
125,Jantedhunga Gaunpalika,Khotang,Jantedhunga,Gaunpalika,1,1,524112,105,NP0112,10509,524 1 12 4 008,NP0112408
126,Kepilasagadhi Gaunpalika,Khotang,Kepilasagadhi,Gaunpalika,1,1,524112,105,NP0112,10501,524 1 12 4 002,NP0112402
127,Khotehang Gaunpalika,Khotang,Khotehang,Gaunpalika,1,1,524112,105,NP0112,10508,524 1 12 4 006,NP0112406
128,Rawa Besi Gaunpalika,Khotang,Rawa Besi,Gaunpalika,1,1,524112,105,NP0112,10503,524 1 12 4 003,NP0112403
129,Rupakot Majhuwagadhi Nagarpalika,Khotang,Rupakot Majhuwagadhi,Nagarpalika,1,1,524112,105,NP0112,10505,524 1 12 3 002,NP0112302
130,Sakela Gaunpalika,Khotang,Sakela,Gaunpalika,1,1,524112,105,NP0112,10506,524 1 12 4 005,NP0112405
131,Belaka Nagarpalika,Udayapur,Belaka,Nagarpalika,1,1,524114,114,NP0114,11401,524 1 14 3 004,NP0114304
132,Chaudandigadhi Nagarpalika,Udayapur,Chaudandigadhi,Nagarpalika,1,1,524114,114,NP0114,11402,524 1 14 3 003,NP0114303
133,Katari Nagarpalika,Udayapur,Katari,Nagarpalika,1,1,524114,114,NP0114,11407,524 1 14 3 001,NP0114301
134,Rautamai Gaunpalika,Udayapur,Rautamai,Gaunpalika,1,1,524114,114,NP0114,11404,524 1 14 4 004,NP0114404
135,Sunkoshi Gaunpalika,Udayapur,Sunkoshi,Gaunpalika,1,1,524114,114,NP0114,11405,524 1 14 4 002,NP0114402
136,Tapli Gaunpalika,Udayapur,Tapli,Gaunpalika,1,1,524114,114,NP0114,11406,524 1 14 4 001,NP0114401
137,Triyuga Nagarpalika,Udayapur,Triyuga,Nagarpalika,1,1,524114,114,NP0114,11403,524 1 14 3 002,NP0114302
138,Udayapurgadhi Gaunpalika,Udayapur,Udayapurgadhi,Gaunpalika,1,1,524114,114,NP0114,11408,524 1 14 4 003,NP0114403
139,Koshi Tappu Wildlife Reserve,Udayapur,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,1,524114,,NP0114,,524 1 14 5 995,NP0114595
140,Agnisair Krishna Savaran Gaunpalika,Saptari,Agnisair Krishna Savaran,Gaunpalika,2,2,524215,201,NP0215,20103,524 2 15 4 002,NP0215402
141,Balan Bihul Gaunpalika,Saptari,Balan Bihul,Gaunpalika,2,2,524215,201,NP0215,20108,524 2 15 4 004,NP0215404
142,Belhi Chapena Gaunpalika,Saptari,Belhi Chapena,Gaunpalika,2,2,524215,201,NP0215,20111,524 2 15 4 006,NP0215406
